FB_ad_spending_congress_2020_dataset
,X.1,names.candidate,office,state_po,district,candidatevotes,totalvotes,loc_identifier,expenditures.candidate,facebook.advertiser,spending,ad_spending,X,year,state,state_fips,state_cen,state_ic,stage,special,party,writein,mode,unofficial,version,foreign_born,median_income,BA_education,HS_education,asian_alone,black_alone,hispanic,multiracial,white_non_hispanic,white_alone,Age_65_plus,median_age,gini,population,vote_share,full_race,winner,total_margin,margin,ad_rate
62,62,BILLY LONG,US HOUSE,MO,7,254318,369283,MO.7,"LONG, BILLY MR.",Billy Long for Congress,1534977.2,3975,30334,2020,MISSOURI,29,43,34,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,3.2,41357,22.2,87,1.1,1.8,4.6,3,89,92,22.1,37.6,0.468341263,759566,0.688680497071352,MO 7 US HOUSE,TRUE,156207,0.423000788013529,0.00258961501187119
63,63,BILLY PREMPEH,US HOUSE,NJ,9,98629,309542,NJ.9,"PREMPEH, WILLIAM SREBOE",Billy Prempeh for Congress Cmte,35075.01,13853,30400,2020,NEW JERSEY,34,22,12,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,35.9,59375,31.1,83.9,13.8,11.3,34.7,3.8,40.6,60.5,18.3,37.2,0.531479202,760064,0.318628812891304,NJ 9 US HOUSE,FALSE,-105045,-0.339356210142727,0.394953558103048
64,64,BLAINE LUETKEMEYER,US HOUSE,MO,3,282866,407348,MO.3,"LUETKEMEYER, W BLAINE",Blaine for Congress,2085423.07,23328,30331,2020,MISSOURI,29,43,34,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,2.2,54625,23.2,88.6,0.9,3.2,2.4,1.7,91.7,93.4,19.7,38.3,0.44105726,760643,0.694408711961271,MO 3 US HOUSE,TRUE,166771,0.409406698940464,0.0111862193986374
65,65,BLAIR WALSINGHAM,US HOUSE,TN,1,68617,305423,TN.1,"WALSINGHAM, BLAIR NICOLE",Blair for Congress 2020,177548,9890,30819,2020,TENNESSEE,47,62,54,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,2.8,38165,18,81.8,0.6,2.4,3.4,1.8,91.7,93.7,25.3,42.9,0.48659295,709547,0.224662189815436,TN 1 US HOUSE,FALSE,-159564,-0.522436096823095,0.0557032464460315
66,66,BLAKE DAVID MOORE,US HOUSE,UT,1,237988,342351,UT.1,"MOORE, BLAKE",Blake Moore for Congress,835315.33,11695,30971,2020,UTAH,49,87,67,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,5.9,59229,28,91.4,1.6,1.1,12.2,2.6,82.3,90.6,13.5,30.1,0.445068683,720959,0.695157893506956,UT 1 US HOUSE,TRUE,133794,0.390809432424617,0.0140007007892457
67,67,BONNIE WATSON COLEMAN,US HOUSE,NJ,12,230883,351725,NJ.12,"COLEMAN, BONNIE WATSON",Bonnie Watson Coleman for Congress,848941.86,2302,30396,2020,NEW JERSEY,34,22,12,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,26.5,79606,42.2,88.8,16.5,17.8,14.8,2,48.8,56.5,19.2,39.2,0.511876001,750594,0.656430449925368,NJ 12 US HOUSE,TRUE,116292,0.330633307271306,0.00271161089877227
68,68,BRAD R. WENSTRUP,US HOUSE,OH,2,230430,377248,OH.2,"WENSTRUP, BRAD DR.",Wenstrup for Congress,1764297.55,40515,30674,2020,OHIO,39,31,24,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,2.8,51133,28.9,87.2,1.6,8.4,1.7,2,86.2,87.6,20.9,40,0.511428702,727391,0.610818347612181,OH 2 US HOUSE,TRUE,83649,0.22173477394181,0.0229638135585463
69,69,BRADLEY SCOTT SCHNEIDER,US HOUSE,IL,10,202402,316874,IL.10,"SCHNEIDER, BRADLEY SCOTT",Schneider for Congress,3024001.68,25002,30031,2020,ILLINOIS,17,33,21,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,23.9,70737,42,87.8,9.8,6.8,22.7,2.6,58.8,74.8,18.1,37.3,0.525846105,716308,0.638745999987377,IL 10 US HOUSE,TRUE,87960,0.277586674829743,0.00826785254960573
70,70,BRETT GUTHRIE,US HOUSE,KY,2,255735,360399,KY.2,"GUTHRIE, S. BRETT HON.",Guthrie for Congress,1579044.63,1924,30102,2020,KENTUCKY,21,61,51,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,2.9,44807,18.1,84.3,1.1,5.7,3.3,2.2,87.8,89.6,20.2,38.5,0.462993716,737296,0.709588539368866,KY 2 US HOUSE,TRUE,161092,0.446982372315128,0.0012184582775219
71,71,BRIAN BABIN,US HOUSE,TX,36,222712,302549,TX.36,"BABIN, BRIAN",Dr Brian Babin for Congress,1310866.02,34267,30951,2020,TEXAS,48,74,49,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,10,53678,18.3,82.9,1.6,8.6,23.2,2.4,64.5,81.2,19.1,37.7,0.488415097,710008,0.736118777454231,TX 36 US HOUSE,TRUE,149294,0.493453952913412,0.0261407340469471
72,72,BRIAN FLOWERS,US HOUSE,MS,2,101010,297234,MS.2,"FLOWERS, BRIAN WESLEY",FLOWERS FOR CONGRESS,17890.71,2024,30309,2020,MISSISSIPPI,28,64,46,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,1.6,31570,18,77.5,0.5,65.4,1.9,0.9,31.5,31.9,18.6,35.4,0.511278217,726159,0.339833262681927,MS 2 US HOUSE,FALSE,-95214,-0.320333474636145,0.113131340231886
73,73,BRIAN HIGGINS,US HOUSE,NY,26,202315,337745,NY.26,"HIGGINS, BRIAN",Brian Higgins for Congress,988667.46,283,30632,2020,NEW YORK,36,21,13,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,7.2,43539,28.5,88.1,3.3,18.4,6,2.6,70.3,72.3,21.7,38.7,0.493159909,715554,0.599017009874313,NY 26 US HOUSE,TRUE,110628,0.327548890435092,0.000286243870107751
74,74,BRIAN J. MAST,US HOUSE,FL,18,253286,449720,FL.18,"MAST, BRIAN",Mast for Congress,5369799.76,384,29940,2020,FLORIDA,12,59,43,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,13.8,51629,29,88.8,1.9,13.1,14.5,2.3,69.2,79.9,30.3,46.5,0.523976063,705469,0.563208218447034,FL 18 US HOUSE,TRUE,66612,0.148118829493907,7.15110464379774E-05
75,75,BRIAN K. FITZPATRICK,US HOUSE,PA,1,249804,441679,PA.1,"FITZPATRICK, BRIAN",Brian Fitzpatrick for Congress,4309027.55,241427,30774,2020,PENNSYLVANIA,42,23,14,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,12.8,39912,23.4,80.1,7.2,36,17.1,2.8,38.7,45.2,15.5,32.7,0.528245066,725059,0.56557816876057,PA 1 US HOUSE,TRUE,57929,0.131156337521141,0.0560281866844876
76,76,BRIAN MARYOTT,US HOUSE,CA,49,181157,386506,CA.49,"MARYOTT, BRIAN L MR",Maryott for Congress,3444349.84,94021,29776,2020,CALIFORNIA,6,93,71,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,17.7,72140,40.2,89.1,5.8,3.8,24.5,4.3,62.2,78,19.1,37.9,0.528484988,717823,0.468704237450389,CA 49 US HOUSE,FALSE,-24192,-0.0625915250992223,0.0272971690936017
77,77,BRUCE WESTERMAN,US HOUSE,AR,4,191617,275035,AR.4,"WESTERMAN, BRUCE",Westerman for Congress,1123311.93,38512,29690,2020,ARKANSAS,5,71,42,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,3.1,36385,15.1,82.5,0.6,19.8,5.4,1.5,72.4,75,23.8,40.7,0.476591616,720174,0.696700419946552,AR 4 US HOUSE,TRUE,115867,0.421280927881906,0.0342843327587556
78,78,BRYAN BERGHOEF,US HOUSE,MI,2,154122,403247,MI.2,"BERGHOEF, BRYAN",Bryan Berghoef for Congress,669911.7,81901,30246,2020,MICHIGAN,26,34,23,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,5.4,47778,23.4,88.8,2,5.6,9.4,3,80.4,87.1,19.4,36.4,0.446226641,717114,0.382202471438101,MI 2 US HOUSE,FALSE,-84589,-0.209769694504857,0.122256410807574
79,79,BRYNNE S. KENNEDY,US HOUSE,CA,4,194731,442022,CA.4,"KENNEDY, BRYNNE",Brynne Kennedy for Congress,3018528.82,201996,29725,2020,CALIFORNIA,6,93,71,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,8.6,65274,30.9,92.6,4.6,1.3,12.3,4.8,77.4,85.2,26.1,43.8,0.495957654,703377,0.440545945676912,CA 4 US HOUSE,FALSE,-52560,-0.118908108646176,0.0669186918679147
80,80,BURGESS OWENS,US HOUSE,UT,4,179688,376730,UT.4,"OWENS, BURGESS",Owens For Congress,5068995.95,16920,30983,2020,UTAH,49,87,67,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,10.3,61088,26.6,89.2,3,1.7,16.5,2.4,75.2,83.7,12.2,30.5,0.427163954,745786,0.476967589520346,UT 4 US HOUSE,TRUE,3765,0.00999389483184243,0.00333793914354972
81,81,CARLA SPALDING,US HOUSE,FL,23,158874,380196,FL.23,"SPALDING, CARLA A",Carla Spalding for Congress,931190.64,12506,29914,2020,FLORIDA,12,59,43,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,37.1,53030,36.1,89.4,3.4,10.7,37.3,2.9,46.9,77.3,21.5,41.4,0.544830174,719732,0.417873938705299,FL 23 US HOUSE,FALSE,-62365,-0.164033814137971,0.0134301178113216
82,82,CARLOS GIMENEZ,US HOUSE,FL,26,177223,342630,FL.26,"GIMENEZ, CARLOS",Carlos Gimenez for Congress,2206564.28,64522,29924,2020,FLORIDA,12,59,43,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,46.6,52530,26.7,81.7,2.2,10.4,67.1,1.6,20,83.8,20.7,40.3,0.489266865,741247,0.517243090213933,FL 26 US HOUSE,TRUE,11816,0.0344861804278668,0.029240933783266
83,83,CAROLINE COLARUSSO,US HOUSE,MA,5,101351,413371,MA.5,"COLARUSSO, CAROLINE",Caroline Colarusso for Congress,150639.05,14228,30184,2020,MASSACHUSETTS,25,14,3,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,21.8,81008,52.5,92.4,9.7,5,8.8,2.8,74.4,79.9,19.1,38,0.521179164,754065,0.245181689088011,MA 5 US HOUSE,FALSE,-193076,-0.467076790582794,0.0944509408417007
84,84,CAROLYN B. MALONEY,US HOUSE,NY,12,265172,336079,NY.12,"MALONEY, CAROLYN B.",Maloney for Congress,3061751.82,64708,30494,2020,NEW YORK,36,21,13,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,26.6,85507,68.8,92.6,13.1,5.3,13.6,3.1,65.5,73.6,20.2,36.2,0.542128907,720538,0.789016868057808,NY 12 US HOUSE,TRUE,216015,0.642750662790594,0.0211343060457461
85,85,CAROLYN BOURDEAUX,US HOUSE,GA,7,190900,371464,GA.7,"BOURDEAUX, CAROLYN",Carolyn for Congress,5331899.54,106786,29968,2020,GEORGIA,13,58,44,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,24.1,64591,37.7,88.3,12.3,18.3,19.2,2.5,48.3,59.6,13.1,35.1,0.486759526,735051,0.513912519113562,GA 7 US HOUSE,TRUE,10336,0.027825038227123,0.0200277591876759
86,86,CAROLYN SALTER,US HOUSE,TX,5,100743,280413,TX.5,"SALTER, CAROLYN",Carolyn Salter for Congress,290261.65,4059,30957,2020,TEXAS,48,74,49,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,13.5,45566,18.4,79,1.9,14.4,27.9,2.2,54,73.8,17.9,35.8,0.484758321,726896,0.359266510468488,TX 5 US HOUSE,FALSE,-73093,-0.260661952191945,0.0139839348394802
87,87,CATHY KUNKEL,US HOUSE,WV,2,100799,272994,WV.2,"KUNKEL, CATHERINE",Kunkel for Congress,649360.28,15200,31062,2020,WEST VIRGINIA,54,55,56,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,1.8,45013,20.2,85.2,0.7,3.7,1.9,2.8,90.7,92.3,23.9,42,0.489156698,626979,0.369235221286915,WV 2 US HOUSE,FALSE,-71396,-0.261529557426171,0.0234076528364193
88,88,CEDRIC L. RICHMOND,US HOUSE,LA,2,201636,316982,LA.2,"RICHMOND, CEDRIC L",Richmond for Congress,1304604.99,1296,30117,2020,LOUISIANA,22,72,45,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,5.7,36937,20.5,80.3,2.8,62.4,5.8,1.5,27.8,31.4,17.7,35.3,0.522380514,784928,0.6361118296938,LA 2 US HOUSE,TRUE,154061,0.486024443028311,0.000993404141432879
89,89,CELESTE WILLIAMS,US HOUSE,AR,3,106325,334262,AR.3,"WILLIAMS, CELESTE SARENE",Williams for House,356059.69,2857,29695,2020,ARKANSAS,5,71,42,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,9.2,43937,24.1,83.6,2.9,3.4,13.6,3,76.2,85.1,18.7,34.9,0.498109268,757765,0.318088804590411,AR 3 US HOUSE,FALSE,-108635,-0.324999551250217,0.00802393553732522
90,90,CHARLIE CRIST,US HOUSE,FL,13,215405,406125,FL.13,"CRIST, CHARLIE JOSEPH",Charlie Crist for Congress,4059147.92,30003,29886,2020,FLORIDA,12,59,43,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,12.1,45368,27.2,88.8,3.5,6.1,9,2.9,78.8,86.1,30.6,48,0.500464248,699288,0.530390889504463,FL 13 US HOUSE,TRUE,24692,0.0607990150815636,0.00739145273621859
91,91,CHARLOTTE BERGMANN,US HOUSE,TN,9,48818,242880,TN.9,"BERGMANN, CHARLOTTE",Bergmann for Congress Campaign,103835.11,5100,30833,2020,TENNESSEE,47,62,54,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,6.2,38241,22.2,82.8,1.6,65.2,6.7,1.7,25.3,28.1,15.7,32.9,0.490814798,711664,0.200996376811594,TN 9 US HOUSE,FALSE,-139087,-0.572657279314888,0.0491163345423335
92,92,CHELE C. FARLEY,US HOUSE,NY,18,128568,356173,NY.18,"FARLEY, CHELE CHIAVACCI",Chele Farley for Congress,1152738.15,38356,30536,2020,NEW YORK,36,21,13,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,12.1,77337,34.3,89.3,3.1,9.5,16.1,3.3,69.9,77.8,19.2,39.3,0.506294951,718210,0.360970651902306,NY 18 US HOUSE,FALSE,-42331,-0.118849547832093,0.0332738185163734
93,93,CHELLIE PINGREE,US HOUSE,ME,1,271004,447981,ME.1,"PINGREE, CHELLIE M",Pingree for Congress,276671.26,3843,30151,2020,MAINE,23,11,2,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,4.1,54916,34.1,92.8,1.3,1.5,1.5,1.9,93.4,94.5,24.7,44,0.481116222,670714,0.604945299019378,ME 1 US HOUSE,TRUE,105996,0.236608249010561,0.0138901308361411
94,94,CHIP COLDIRON,US HOUSE,IN,3,104762,325751,IN.3,"COLDIRON, CHIP WINTER MR.",Chip Coldiron for Congress,93091.48,3623,30049,2020,INDIANA,18,32,22,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,4.2,48401,21.1,87,1.6,6,5.8,2.2,84.4,87.9,19.8,36.9,0.450610453,729747,0.32160146860639,IN 3 US HOUSE,FALSE,-116227,-0.356797062787221,0.0389187066313695
95,95,CHIP ROY,US HOUSE,TX,21,235740,453750,TX.21,"ROY, CHIP",Chip Roy for Congress,4771749.89,64375,30897,2020,TEXAS,48,74,49,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,9.2,60230,44,92.6,3,3.5,26.9,2.5,64.8,88.8,20.8,37.9,0.518569509,743443,0.519537190082645,TX 21 US HOUSE,TRUE,29960,0.0660275482093664,0.0134908579628007
96,96,CHRIS BISH,US HOUSE,CA,6,83466,313114,CA.6,"BISH, CHRISTINE",Bish For Congress,45285.82,566,29703,2020,CALIFORNIA,6,93,71,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,22.5,47073,25.8,82.2,15.9,12.3,27.1,7.2,38.4,53.6,15.9,33.5,0.493326073,729428,0.266567448277624,CA 6 US HOUSE,FALSE,-146182,-0.466865103444752,0.0124983935368731
97,97,CHRIS JACOBS,US HOUSE,NY,27,192756,398191,NY.27,"JACOBS, CHRISTOPHER L.",Chris Jacobs for Congress,2089854.64,47861,30614,2020,NEW YORK,36,21,13,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,3.4,58925,28.3,91.6,1.2,2.4,2.3,1.5,92.2,93.6,23,43.2,0.460777709,714863,0.484079248400893,NY 27 US HOUSE,TRUE,55973,0.140568219773928,0.0229015928112589
98,98,CHRIS JANICEK,US SENATE,NE,0,227191,930012,NEBRASKA,"JANICEK, CHRIS EDWARD MR",Janicek for Senate,141423.52,7657,3559,2020,NEBRASKA,31,46,35,gen,FALSE,DEMOCRAT,FALSE,total,FALSE,20210114,7.2,61439,31.9,91.4,2.7,5.2,11.4,2.3,78.2,88.1,16.2,36.8,0.44,1961504,0.244288245743066,NE 0 US SENATE,FALSE,-356316,-0.383130540251094,0.0541423378515823
99,99,CHRIS PALOMBI,US HOUSE,MD,5,123525,398839,MD.5,"PALOMBI, CHRISTOPHER",Palombi for Congress,45695.38,5415,30161,2020,MARYLAND,24,52,52,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,10.1,91020,32.6,90.9,4.1,38.3,7.4,2.7,47.8,51.9,16.8,37.8,0.458830818,752393,0.30971143744719,MD 5 US HOUSE,FALSE,-150685,-0.377809090886297,0.118502133038395
100,100,CHRIS PAPPAS,US HOUSE,NH,1,205606,400661,NH.1,"PAPPAS, CHRIS",Chris Pappas for Congress,3122213.85,75584,30370,2020,NEW HAMPSHIRE,33,12,4,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,5.5,65502,33.6,92.1,2.3,1.3,3.2,1.8,91.4,93.6,21.8,41.9,0.475397492,662473,0.513166991546469,NH 1 US HOUSE,TRUE,20447,0.0510331676903916,0.0242084634913781
101,101,CHRISSY J. HOULAHAN,US HOUSE,PA,6,226440,403966,PA.6,"HOULAHAN, CHRISSY",Chrissy Houlahan for Congress,1419800.16,1135,30760,2020,PENNSYLVANIA,42,23,14,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,6.7,74080,40.7,92.1,3.7,4.1,6.3,2.2,84,87.8,21.7,40.6,0.50095471,721522,0.560542223850522,PA 6 US HOUSE,TRUE,48914,0.121084447701044,0.000799408277288826
102,102,CHRISTINA FINELLO,US HOUSE,PA,1,191875,441679,PA.1,"FINELLO, CHRISTINA",Finello for Congress,2370813.92,132586,30775,2020,PENNSYLVANIA,42,23,14,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,12.8,39912,23.4,80.1,7.2,36,17.1,2.8,38.7,45.2,15.5,32.7,0.528245066,725059,0.43442183123943,PA 1 US HOUSE,FALSE,-57929,-0.131156337521141,0.055924254063769
103,103,CHRISTINA M. HAGAN,US HOUSE,OH,13,148648,330801,OH.13,"HAGAN, CHRISTINA",Hagan for Congress,830559.7,22078,30705,2020,OHIO,39,31,24,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,3.1,41627,20.4,88.4,1.3,12.2,3.4,2.6,80.9,83,23.6,40.9,0.457371985,719201,0.449357770986182,OH 13 US HOUSE,FALSE,-24983,-0.075522746303669,0.0265820747141957
104,104,CHRISTINE BUBSER,US HOUSE,CA,8,124400,283111,CA.8,"BUBSER, CHRISTINE",Chris Bubser for Congress,1876717.93,107006,29706,2020,CALIFORNIA,6,93,71,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,12.2,47647,15.4,82.3,2.5,8.2,39.9,4.8,46.8,75.5,17.3,33.7,0.470298069,709384,0.439403626139571,CA 8 US HOUSE,FALSE,-34311,-0.121192747720859,0.0570176254457163
105,105,CHRISTINE Y. QUINN,US HOUSE,FL,14,147896,372136,FL.14,"QUINN, CHRISTINE YVONNE",Christine Quinn for Congress,241291.87,3877,29890,2020,FLORIDA,12,59,43,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,17,40994,25.6,84,3,25.3,28.2,2.8,41.6,63.7,17.9,35.6,0.522780752,733381,0.397424597458994,FL 14 US HOUSE,FALSE,-76344,-0.205150805082013,0.0160676777050134
106,106,CHRISTY SMITH,US HOUSE,CA,25,169305,338943,CA.25,"SMITH, CHRISTY",Christy Smith for Congress,5943381.18,96732,29767,2020,CALIFORNIA,6,93,71,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,20.4,72667,26.7,84.1,7.6,7.9,36.6,4.8,44.4,65.4,15.8,35.7,0.494960491,716815,0.499508766960816,CA 25 US HOUSE,FALSE,-333,-0.000982466078367159,0.0162755840607215
107,107,CLAIRE H. GUSTAFSON,US HOUSE,NJ,1,144463,385030,NJ.1,"GUSTAFSON, CLAIRE H.",Claire Gustafson for Congress 2020,21761.17,6184,30404,2020,NEW JERSEY,34,22,12,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,9.1,63938,28.4,88.2,4.9,17.7,12.9,2.9,64.1,68.1,19.4,38.6,0.484579429,730895,0.375199335116744,NJ 1 US HOUSE,FALSE,-96104,-0.249601329766512,0.284175896792314
108,108,CLAUDIA TENNEY,US HOUSE,NY,22,143291,326568,NY.22,"TENNEY, CLAUDIA",Claudia Tenney for Congress,2800346.36,0,30572,2020,NEW YORK,36,21,13,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,5,48020,23,88.3,2.4,4.1,3.5,2,88.6,90.3,23.5,40.8,0.468157697,713145,0.438778447367776,NY 22 US HOUSE,TRUE,4393,0.0134520222434531,0
109,109,CLIFF BENTZ,US HOUSE,OR,2,273835,457433,OR.2,"BENTZ, CLIFF",Cliff Bentz for Congress,1363581.04,14405,30734,2020,OREGON,41,92,72,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,6.1,43915,22.7,88.2,1,0.5,13.1,3.7,80.7,90.4,26,42.1,0.472467196,778062,0.598634116908924,OR 2 US HOUSE,TRUE,104954,0.229441251505685,0.0105640952590541
110,110,CLINT CURTIS,US HOUSE,FL,6,172305,437856,FL.6,"CURTIS, CLINT",Clint Curtis for Congress,24792.35,220,29880,2020,FLORIDA,12,59,43,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,7.5,46089,26.7,88.9,2.2,8.3,7.2,2,80,85.5,30.4,46.4,0.518711829,722788,0.39351978732734,FL 6 US HOUSE,FALSE,-93088,-0.212599576116349,0.00887370499367749
111,111,COLIN Z. ALLRED,US HOUSE,TX,32,178542,343687,TX.32,"ALLRED, COLIN",Colin Allred for Congress,5721622.7,121516,30933,2020,TEXAS,48,74,49,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,20.3,62513,41.4,86,7.6,13.4,25.6,4.1,50.5,62.6,16.3,35.7,0.533185854,718713,0.519490117461528,TX 32 US HOUSE,TRUE,20675,0.0601564795875317,0.0212380309523031
113,113,CONOR J. LAMB,US HOUSE,PA,17,222253,434537,PA.17,"LAMB, CONOR",Conor Lamb for Congress,3502527.09,60965,30784,2020,PENNSYLVANIA,42,23,14,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,5.4,48024,20,87.7,1.5,6.1,8.1,2.3,83,88.1,23.8,42,0.46419815,699632,0.511470829871795,PA 17 US HOUSE,TRUE,9969,0.0229416597435892,0.0174060038462115
114,114,CORI BUSH,US HOUSE,MO,1,249087,316171,MO.1,"BUSH, CORI",Cori Bush for Congress,1345333.87,69671,30312,2020,MISSOURI,29,43,34,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,5.6,40057,28.2,86,2.7,48.8,3,3.3,42.1,44.3,18.1,35.5,0.503509302,737033,0.7878236776934,MO 1 US HOUSE,TRUE,189147,0.598242723083395,0.0517871448520061
115,115,CORKY MESSNER,US SENATE,NH,0,326229,795914,NEW HAMPSHIRE,"MESSNER, BRYANT 'CORKY' S.",Messner for Senate,7091752.65,111429,3563,2020,NEW HAMPSHIRE,33,12,4,gen,FALSE,REPUBLICAN,FALSE,total,FALSE,20210114,6.1,76768,37,93.1,3,1.8,4,1.8,89.8,93.1,18.7,43,0.44,1377529,0.409879710622002,NH 0 US SENATE,FALSE,-124549,-0.156485499689665,0.0157124769431996
116,116,CORY BOOKER,US SENATE,NJ,0,2541178,4440440,NEW JERSEY,"BOOKER, CORY A.",Cory Booker for Senate,11579011.88,225005,3567,2020,NEW JERSEY,34,22,12,gen,FALSE,DEMOCRAT,FALSE,total,FALSE,20210114,22.4,82545,39.7,89.8,10,15.1,20.9,2.3,54.6,71.9,16.6,40.2,0.48,9288994,0.572280674888074,NJ 0 US SENATE,TRUE,724126,0.163075280828026,0.0194321417347056
117,117,CORY GARDNER,US SENATE,CO,0,1429492,3235790,COLORADO,"GARDNER, CORY",CORY GARDNER FOR SENATE,28026301.24,27174,3451,2020,COLORADO,8,84,62,gen,FALSE,REPUBLICAN,FALSE,total,FALSE,20210114,9.7,72331,40.9,91.7,3.5,4.6,21.8,3.1,67.7,86.9,14.6,37.1,0.45,5773714,0.441775269717751,CO 0 US SENATE,FALSE,-301622,-0.0932143309670899,0.000969589235743189
118,118,CYNTHIA AXNE,US HOUSE,IA,3,219205,460813,IA.3,"AXNE, CINDY",Cindy Axne for Congress,6294921.24,112415,30073,2020,IOWA,19,42,31,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,6.1,57152,30.4,91.8,2.8,4.1,6.5,2.1,84.5,89.5,19,36.7,0.472003589,788588,0.475691875012207,IA 3 US HOUSE,TRUE,6208,0.0134718421572308,0.0178580471008403
119,119,CYNTHIA L. WALLACE,US HOUSE,NC,9,179463,404124,NC.9,"WALLACE, CYNTHIA",Cynthia Wallace for Congress,808399.89,45263,30667,2020,NORTH CAROLINA,37,56,47,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,10,70793,46.8,93.1,4.2,12.7,7.8,2.1,73.2,78,16.5,38.2,0.509627078,780211,0.44407904504558,NC 9 US HOUSE,FALSE,-45198,-0.11184190990884,0.0559908537345298
120,120,DALE JOHN CRAFTS,US HOUSE,ME,2,175228,380324,ME.2,"CRAFTS, DALE",Dale Crafts for Congress,1279586.58,39100,30145,2020,MAINE,23,11,2,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,2.7,42676,21.7,89.4,0.8,0.5,1.3,2.3,94.4,95.3,25.6,44.1,0.462978919,657588,0.460733479875054,ME 2 US HOUSE,FALSE,-22746,-0.0598069014839979,0.0305567443509762
121,121,DAN AHLERS,US SENATE,SD,0,143987,420219,SOUTH DAKOTA,"AHLERS, DAN",Ahlers for Senate,253114.09,7724,3597,2020,SOUTH DAKOTA,46,45,37,gen,FALSE,DEMOCRAT,FALSE,total,TRUE,20210114,3.7,58275,28.8,91.7,1.5,2.3,4.2,2.5,81.5,84.6,17.2,37.7,0.44,886667,0.342647524267108,SD 0 US SENATE,FALSE,-132245,-0.314704951465783,0.0305158831734733
